noyes,id,bdb,cle,kbc,og,vuu,gb,xxp,rao,at,mt,lf,zq,zf,ihj,ptj,fq
yes,591608,rh,cqy,uz,kc,3.61,1,ndk,e2,urz,1.2,rw,0.049424274,1.32924142965554,0.400004,2.28625980218608,ywh
no,470507,cu,fpj,uz,je,2.24,0,ndk,e2,urz,0.9,rw,7.8187376,1.39749929124711,0.408405,1.69386906231409,akk
yes,461016,xy,fpj,zl,kc,3.61,1,ndk,e2,ghz,0,xp,8.6110103,1.35776782881973,0.424271,2.03424611463174,bhe
no,189400,dt,fpj,kd,je,2.83,0,ndk,e2,urz,0.5,xp,2.1834404,1.36851015521846,0.400004,1.69452956596536,bhe
yes,546923,mf,cqy,zl,kc,3.46,1,ndk,e2,urz,0,xp,2.9553992,1.37081670414263,0.400004,1.89108839019285,bhe
no,219663,rh,fpj,wh,kc,3.74,0,ndk,e2,urz,0.2,xp,6.8429105,1.38143671580053,0.374171,1.90291687176045,akk
no,408503,eb,fpj,zl,kc,1.73,0,ndk,e2,urz,0.7,wp,5.4975284,1.3286269607905,0.400004,1.68764284439377,akk
no,397091,mf,fpj,wh,je,1,0,ndk,e2,ghz,0,xp,1.8582614,1.30495796787837,0.316071,1.45866171469391,ntg
no,153408,rz,afs,wh,kc,2.45,0,ptn,e5,zgp,0.4,xp,8.2934362,1.30330893386272,0.316226,1.57264434118324,akk
no,479216,xy,fpj,wh,kc,3.61,0,ndk,e2,pxe,1,xp,6.7499563,1.34985359130219,0.400004,1.85396315312462,bhe
no,247220,xy,fpj,zl,je,2.83,0,ndk,e2,zgp,1.1,xp,0.57199801,1.36193976451244,0.316226,1.60704346267394,bhe
yes,216317,cu,fpj,kd,je,3,1,ndk,e4,urz,0.1,xp,10.771762,1.32558030185306,0.424271,2.01138645109947,akk
no,337884,mf,afs,wh,kc,3.74,0,ndk,e2,urz,0,xp,10.018838,1.4034893280513,0.424271,2.13706178284854,bhe
yes,124755,xy,fpj,wr,kc,3.46,1,ndk,e2,zgp,0.5,xp,1.0515155,1.29732980789497,0.374171,1.7783837470614,bhe
no,436676,rh,cqy,wh,kc,3,0,ndk,e2,urz,0.1,xp,9.9623508,1.36153384487713,0.316226,1.66014418310249,bhe
no,15953,rh,fpj,kd,kc,3,1,ndk,e2,zgp,0.3,xp,11.145304,1.28878929095102,0.316226,1.59801679688315,ntg
no,345974,xy,afs,zl,kc,3.61,0,ndk,e2,urz,0.7,xp,2.7206726,1.31623125270548,0.400004,1.95944876908006,bhe
no,562007,rh,fpj,zl,kc,1.41,0,ndk,e2,urz,0.2,xp,10.122625,1.39369256405331,0.360557,1.55383374545306,bhe
no,34738,cu,fpj,zl,kc,3,0,ndk,e2,urz,0,xp,4.4203525,1.39369256405331,0.400004,1.70751329738396,akk
yes,134230,xy,cqy,zl,kc,3.61,1,ndk,e2,zgp,1.3,xp,5.6748093,1.27386376520884,0.316226,2.04650998341644,ywh
yes,588102,xy,fpj,zl,kc,3,1,ndk,e2,zgp,1.8,xp,9.0366114,1.38962365489797,0.447206,2.11187257265509,bhe
no,203000,rh,fpj,wh,kc,3.16,0,ndk,e2,urz,0,xp,6.1759399,1.30166454395918,0.316226,1.66033565582198,bhe
no,377198,cu,cqy,kd,kc,3.16,1,ndk,e2,ghz,0.2,xp,9.2341696,1.42308194478187,0.39975,1.80852096026175,ywh
no,78732,cu,fpj,kd,kc,2.45,0,ndk,e2,urz,0,xp,2.7148237,1.30821330444526,0.316226,1.56492633020668,ntg
yes,410146,cu,fpj,wg,kc,3.32,0,ndk,e2,ghz,0.8,rw,4.3810749,1.4,0.447206,2.0699762022361,akk
no,451434,cu,fpj,wh,kc,2.65,0,ndk,e2,urz,0.2,xp,1.3283674,1.40742880178509,0.400004,1.74402222866431,bhe
no,492830,xy,fpj,wh,kc,2.45,0,ndk,e2,urz,0,xp,3.0657164,1.36468874364799,0.424271,1.77457131733518,bhe
no,127817,xy,fpj,uz,kc,2,0,ndk,e2,urz,1.2,rw,12.718144,1.38210771151283,0.374171,1.64268731394197,bhe
yes,337122,eb,fpj,zl,kc,3.32,0,ndk,e2,urz,1.1,xp,1.6124303,1.42308194478187,0.39975,1.76659565490124,ywh
no,278733,xy,afs,wh,kc,2.65,0,ndk,e2,ghz,0.3,xp,8.8437785,1.35833863709556,0.316226,1.57598315447093,bhe
no,570637,rz,fpj,sv,kc,3.16,0,ndk,e2,ghz,0.3,rw,1.5247578,1.39863124226229,0.400004,1.80747915120592,akk
no,183225,eb,fpj,wh,kc,1.41,0,ndk,e2,ghz,0.3,xp,10.630218,1.36877637165667,0.315588,1.53535300822041,akk
no,358233,xy,fpj,wh,kc,3.61,0,ndk,e2,urz,0.5,xp,3.629184,1.30166454395918,0.316226,1.67185141644135,ntg
no,228552,mf,fpj,sv,kc,3.16,0,ndk,e2,urz,1.2,rw,5.5662625,1.38871121270789,0.374171,1.69879293293615,bhe
no,183298,xy,fpj,zl,kc,3.46,0,ndk,e2,zgp,0,xp,3.4755346,1.34205176086935,0.374171,1.7937978331929,akk
no,282417,eb,fpj,zl,je,2.83,0,ndk,e2,urz,0.4,xp,3.1303735,1.38262785209842,0.400004,1.77897035670122,bhe
yes,128650,xy,fpj,zl,kc,3.61,1,ndk,e2,ghz,0.8,xp,8.9164712,1.39089653454261,0.447206,2.41116898122671,bhe
no,583138,xy,fpj,uz,kc,3.74,1,ndk,e2,ghz,0.3,rw,1.7903795,1.36877637165667,0.316226,1.76650993701741,akk
no,260832,xy,fpj,zl,kc,2.45,0,ndk,e2,urz,1.2,xp,9.7302686,1.34350490190862,0.422014,1.80959699751325,bhe
no,376979,cu,fpj,zl,kc,3.32,0,ndk,e2,ghz,0.6,xp,3.6414122,1.32325930544373,0.400004,1.73358821352053,akk
no,276276,xy,fpj,zl,je,3.74,0,ndk,e2,urz,0,xp,9.9843485,1.36877637165667,0.316226,1.75731369384774,akk
no,561328,xy,cqy,wh,kc,3.61,0,ndk,e2,urz,0.1,xp,13.821785,1.36633978958922,0.400004,1.85816669059931,bhe
no,222969,cu,rmv,wh,je,2.65,0,ndk,e2,urz,0.8,xp,6.3524931,1.41593397842474,0.424271,1.71598655830413,bhe
no,458296,mf,fpj,wh,kc,3.32,0,ndk,e2,urz,0.1,xp,2.1729305,1.43828836717845,0.424271,1.98567909276438,bhe
no,369326,xy,fpj,sv,je,0,0,ndk,e2,urz,0,rw,9.8038048,1.40865292182218,0.446991,1.55489582745987,akk
no,378112,xy,fpj,sv,kc,3.61,0,ndk,e2,zgp,0.2,rw,1.9683871,1.37947668203965,0.374171,1.93107095618832,akk
no,345343,xy,fpj,zl,kc,3,0,ndk,e2,zgp,0.4,xp,3.7674027,1.38871121270789,0.374171,1.68416795034861,bhe
no,62763,cu,fpj,uz,je,3.46,1,ndk,e2,zgp,0.5,rw,9.9585551,1.36810536616253,0.374171,1.77817401094446,akk
no,266206,xy,fpj,wh,kc,2.83,0,ndk,e2,ghz,0.2,xp,6.3999958,1.39749929124711,0.400004,1.74992635518723,bhe
no,93109,xy,fpj,uz,kc,3,1,ndk,e2,urz,0.8,rw,4.6524004,1.39268400021569,0.374171,1.69434114544706,bhe
no,286730,rh,fpj,wh,kc,2.45,0,ndk,e2,urz,0,xp,5.960709,1.38262785209842,0.400004,1.74589376949176,bhe
no,52843,xy,fpj,sv,kc,3,0,ndk,e2,urz,0.3,rw,10.330466,1.36661320093954,0.374171,1.66489565735205,akk
yes,343393,xy,cqy,sv,je,3.32,0,ndk,e8,zgp,0.9,rw,0.44456165,1.42308194478187,0.400004,1.87762913298265,ywh
yes,400949,mf,fpj,wg,kc,2.45,0,ndk,e8,pxe,0.4,rw,9.4596175,1.38210771151283,0.374171,1.71092947887219,bhe
yes,90234,cu,fpj,zl,kc,3.32,1,ndk,e2,zgp,0.8,xp,7.5044904,1.4176143109036,0.447206,1.91724354700138,bhe
no,339895,xy,cqy,ld,kc,3.46,0,ndk,e2,urz,0.2,rw,6.4185803,1.35833863709556,0.316226,1.69653476869739,akk
no,107623,xy,fpj,uz,kc,3.61,0,ndk,e2,urz,0,rw,7.7014134,1.38483881264338,0.400004,1.88404513417496,bhe
yes,223906,xy,cqy,zl,je,3.61,1,ndk,e2,urz,0.6,xp,4.1046541,1.333159209129,0.387302,1.98320929988262,bhe
no,267480,xy,fpj,uz,kc,3,0,ndk,e2,zgp,0.3,rw,0.88577474,1.38210771151283,0.387302,1.90041147169321,bhe
no,278380,cu,cqy,wh,kc,2.65,0,ndk,e2,zgp,0.2,xp,4.3506186,1.33407030923255,0.39975,1.60944610124806,ntg
no,349568,xy,fpj,zl,kc,3.32,0,ndk,e2,urz,0.2,xp,1.90094,1.35833863709556,0.316226,1.66729166437445,bhe
no,21464,xy,fpj,uz,kc,3.74,1,ndk,e2,urz,0.3,rw,10.603749,1.30166454395918,0.387302,1.91768607219223,akk
no,161092,xy,cqy,wh,kc,3.74,0,ndk,e2,urz,0.9,xp,2.2798418,1.39268400021569,0.400004,2.08675154501704,bhe
no,337961,cu,fpj,ld,je,3.16,0,ndk,e2,ghz,0.1,rw,5.2604434,1.36153384487713,0.316226,1.67948508979162,bhe
yes,500497,cu,cqy,wr,kc,2.83,0,ndk,e2,urz,0.5,rw,5.3279523,1.36153384487713,0.316226,1.60513787032841,bhe
no,468383,xy,fpj,kd,kc,2.24,0,ndk,e2,urz,0.3,xp,6.6547558,1.30330893386272,0.316226,1.5590656067893,akk
no,350696,be,fpj,wh,kc,0,0,ndk,e2,urz,0.3,rw,8.4413711,1.3507076423861,0.3995,1.45745308424129,ntg
yes,509668,xy,cqy,mo,kc,3.46,0,ndk,e2,zgp,0.8,xp,0.30225831,1.36633978958922,0.400004,1.78128072669827,bhe
yes,6010,eb,cqy,sv,kc,3.46,1,ndk,e2,zgp,1.2,rw,4.5360944,1.52048382666226,0.447206,2.08450965631131,bhe
no,275731,mf,fpj,wh,kc,3.16,0,ptn,e2,urz,0.3,xp,9.6029024,1.42461575003796,0.447206,1.85120712782794,bhe
no,419725,xy,cqy,sv,kc,3.46,0,ndk,e2,zgp,0.4,rw,0.94418151,1.36661320093954,0.374171,1.73477207060654,akk
no,511210,eb,fpj,zl,kc,2.65,0,ptn,e2,ghz,0.3,xp,6.9520409,1.35833863709556,0.316226,1.58858632427155,bhe
no,385834,xy,fpj,sv,kc,3.61,0,ndk,e2,urz,0.3,rw,6.9691667,1.40939553773181,0.400004,2.16233090204532,akk
no,526150,xy,fpj,wh,kc,0,0,ndk,e2,zgp,0.2,xp,8.0235887,1.3626278319083,0.315588,1.45204765721602,bhe
no,278192,xy,cqy,wh,kc,2.65,0,ndk,e2,zgp,0.2,xp,2.6317023,1.39648967921761,0.424271,1.89204165931627,akk
no,283680,cu,fpj,wh,kc,3.46,1,ndk,e2,ghz,0,rw,0.060661042,1.34728121567602,0.316226,1.65394070923629,ntg
no,165505,eb,fpj,kd,kc,3.61,0,ndk,e2,ghz,0,xp,3.1451381,1.34540771373617,0.424271,1.97968412137183,bhe
yes,420030,xy,fpj,zl,je,3.32,1,ptn,e5,pxe,0.4,xp,1.6929438,1.36742584832425,0.316226,1.74418159313765,bhe
no,538454,eb,fpj,wh,kc,3.32,0,ndk,e2,urz,0,xp,8.7576355,1.34728121567602,0.316226,1.64055101354834,ntg
no,304114,cu,afs,wh,kc,3.16,0,ndk,e2,urz,0.2,xp,6.8666788,1.36661320093954,0.374171,1.6905988608743,akk
no,68322,dt,fpj,zl,kc,3.61,0,ndk,e2,zgp,1,rw,4.2742444,1.33075419135778,0.374171,1.86330869069726,akk
no,31372,cu,cqy,uz,kc,3.46,0,ptn,e2,zgp,0.6,rw,2.4336994,1.36153384487713,0.316226,1.74050643665978,bhe
yes,469000,rh,cqy,wh,kc,3.16,1,ndk,e1,pxe,0,xp,4.2692155,1.36851015521846,0.316226,1.67048559906826,bhe
no,31986,rh,fpj,wh,je,3.61,0,ndk,e2,ghz,0,xp,9.8357108,1.33015230358822,0.374171,1.85115987815496,bhe
no,145064,rh,cqy,wh,kc,0,0,ndk,e2,urz,0.3,xp,10.084843,1.36055998515765,0.316071,1.40580548433779,ntg
no,256916,cu,fpj,wh,kc,3.32,1,ndk,e2,zgp,0.6,xp,3.5175457,1.3850938385195,0.374171,1.77773435651063,bhe
yes,448646,cu,fpj,wr,je,3.61,0,ndk,e2,ghz,0.4,rw,7.1211948,1.32016243958924,0.316226,1.83118011915304,bhe
no,72131,cu,cqy,sv,je,3.74,1,ndk,e2,urz,0.5,rw,10.165406,1.38405389281312,0.316226,1.77105820759485,akk
no,212575,cu,fpj,wh,kc,3.32,0,ndk,e2,zgp,0.2,xp,10.557619,1.3286269607905,0.374171,1.72617404996624,akk
no,302165,cu,fpj,wh,je,2.24,0,ndk,e2,pxe,0.3,rw,0.31451221,1.33075419135778,0.316071,1.53745078563869,ntg
yes,408050,xy,fpj,wh,je,2.65,0,ndk,e2,zgp,0.2,xp,5.3835142,1.41664853039342,0.374171,1.68571715935162,ywh
no,190583,rh,fpj,zl,kc,3.61,0,ndk,e2,ghz,0,ii,4.3656166,1.41654014439613,0.424271,2.19998084834552,akk
no,185308,eb,fpj,ld,je,3.32,0,ndk,e2,urz,0,rw,9.065448,1.37162689717913,0.374171,1.74523656827368,bhe
yes,53775,mf,fpj,mo,kc,0,0,ptn,e2,urz,0.2,rw,4.8407357,1.30330893386272,0.316071,1.43409721670088,ntg
no,37331,mf,fpj,zl,kc,2.24,0,ndk,e2,urz,0.3,xp,4.1941008,1.35566450522281,0.316071,1.53220669156688,ntg
no,211343,eb,fpj,sv,je,3.16,1,ndk,e2,zgp,0,rw,4.0263827,1.38143671580053,0.316226,1.7056271498281,akk
yes,592676,rh,fpj,wh,kc,3.61,1,ndk,e2,zgp,0.5,xp,10.474248,1.34220180340073,0.400004,1.99977692107363,akk
no,156043,mf,fpj,zl,je,3.32,0,ndk,e2,ghz,1.1,xp,8.1816654,1.37349327571832,0.447206,1.85215510159702,bhe
no,50988,cu,fpj,zl,je,3.32,0,ndk,e2,ghz,0.4,xp,6.9173976,1.39268400021569,0.374171,1.73731346632057,bhe
no,542391,xy,fpj,sv,kc,3.74,0,ndk,e2,urz,0.3,rw,2.1458979,1.37549098080702,0.316226,1.87609111314802,akk
no,397377,xy,fpj,zl,je,3,0,ndk,e2,ghz,0,xp,3.2426292,1.41109719728298,0.447206,1.75246324308937,akk
no,351867,dt,rmv,wh,je,0,0,ndk,e2,ghz,0.7,xp,3.7812957,1.28372509120165,0.315278,1.37871556724294,ntg
no,230891,cu,fpj,zl,kc,3.61,0,ptn,e2,zgp,1.1,xp,3.982236,1.35860497386404,0.424271,2.21618785008119,akk
no,349180,cu,fpj,wh,kc,3.46,0,ndk,e2,urz,0.4,xp,9.199473,1.37081670414263,0.400004,1.78169516265401,bhe
no,558938,rh,fpj,uz,kc,3,0,ndk,e2,ghz,0.9,rw,4.3479464,1.38210771151283,0.387302,1.91981054775177,bhe
no,297914,cu,fpj,zl,kc,3.32,0,ndk,e2,zgp,0.2,xp,6.9735341,1.39724955532288,0.424271,2.00033577191216,akk
no,588281,dt,fpj,zl,je,2.83,0,ndk,e2,urz,0.8,xp,3.0443968,1.35916580068933,0.447206,1.79738669552684,bhe
no,172403,rh,cqy,sv,kc,2.65,1,ndk,e2,urz,0,rw,3.6137733,1.35833863709556,0.316226,1.58750687531558,ntg
no,564835,rh,fpj,wh,je,3.61,0,ndk,e2,zgp,0.3,xp,6.2453071,1.3114521615436,0.316226,1.81555191244036,akk
no,31659,cu,cqy,wh,kc,3.46,0,ndk,e2,zgp,0.3,xp,7.1945139,1.39749929124711,0.400004,1.89323886052542,bhe
no,340188,dt,fpj,wh,kc,2.83,0,ndk,e2,urz,1.7,rw,8.0573811,1.32481276264143,0.400004,1.66971825062803,bhe
no,261112,rh,fpj,wh,je,2,0,ndk,e2,urz,0.1,xp,9.3223552,1.3185857685098,0.316226,1.539680511104,akk
yes,132858,dt,fpj,wr,je,3.46,0,ndk,e2,urz,1.6,xp,4.6311736,1.30083230545165,0.374171,1.76236101697612,akk
no,515568,cu,fpj,uz,kc,3.46,0,ndk,e2,urz,0,rw,5.3704202,1.41291682885743,0.374171,1.84375560276748,bhe
yes,524451,cu,fpj,zl,kc,3.61,1,ndk,e2,urz,0,xp,2.6182992,1.38341163130426,0.400004,1.96754161893843,bhe
yes,509298,cu,cqy,wh,kc,3.61,0,ndk,e2,urz,0.2,xp,0.48310804,1.34669228077216,0.424271,1.96717855669235,bhe
yes,397511,cu,fpj,zl,kc,3.46,1,ndk,e2,urz,0.6,xp,6.4434826,1.38262785209842,0.316226,1.71131196571585,bhe
no,204762,cu,fpj,zl,kc,3.46,0,ndk,e2,ghz,0.2,rw,1.5552571,1.30166454395918,0.316226,1.71557911424578,bhe
no,508194,xy,cqy,kd,je,3.74,1,ndk,e2,zgp,0.1,rw,8.6572819,1.41230420834912,0.316226,1.84311113848977,bhe
no,263013,xy,fpj,uz,kc,0,0,ndk,e2,urz,0.3,rw,1.124312,1.42366887973825,0.468822,1.5932378085907,akk
no,15479,rz,fpj,ld,kc,1,0,ndk,e2,urz,0.4,rw,0.42279764,1.36399590727583,0.316071,1.51165415029511,bhe
no,589349,cu,fpj,zl,kc,3.32,0,ndk,e2,urz,0.6,xp,10.792754,1.36153384487713,0.316226,1.65959015730882,bhe
no,213271,cu,fpj,zl,je,2.83,0,ndk,e2,ghz,1.1,xp,7.0902445,1.40619401649356,0.445976,1.73975590357469,akk
no,75615,cu,fpj,mo,kc,2.24,1,ndk,e2,urz,0.2,xp,4.617986,1.36399590727583,0.316071,1.53467697728295,ntg
no,35520,cu,fpj,zl,je,3.46,0,ndk,e2,ghz,1.2,xp,5.0446702,1.29916821131066,0.316226,1.75260984464799,bhe
yes,210433,dt,fpj,wg,kc,3.74,0,ndk,e2,zgp,0.6,rw,5.7049479,1.41748608320983,0.447206,2.19550513077779,akk
yes,389909,cu,afs,wh,kc,3.74,0,ndk,e2,pxe,0.3,xp,7.8131577,1.4,0.424271,2.00407123992918,akk
no,150360,cu,fpj,wh,kc,3.46,0,ptn,e2,pxe,0,xp,1.9703889,1.40520660287272,0.424271,1.94734043036831,bhe
no,591041,xy,fpj,sv,kc,3.16,0,ndk,e2,urz,0.1,rw,3.4597073,1.39369256405331,0.374171,1.76438574029081,bhe
no,441647,cu,cqy,zl,je,3.32,0,ndk,e2,ghz,0.6,xp,8.4903687,1.38871121270789,0.374171,1.71930543218752,bhe
yes,450401,rh,fpj,wh,kc,2.65,0,ptn,e3,zgp,0.3,ii,3.5565348,1.3507076423861,0.424271,1.76509490850096,bhe
no,41134,cu,fpj,wh,kc,3,0,ndk,e2,urz,0,xp,6.2346833,1.38871121270789,0.374171,1.68662288407025,bhe
no,152747,xy,fpj,zl,kc,3.16,0,ndk,e2,ghz,0.2,xp,5.8319566,1.38143671580053,0.316226,1.70619578134441,akk
yes,465583,xy,fpj,zl,kc,2.65,0,ndk,e8,urz,0,xp,8.6721654,1.39369256405331,0.316071,1.64291432689166,bhe
no,188588,eb,afs,zl,je,3.32,0,ndk,e2,urz,0,xp,9.5084903,1.3850938385195,0.374171,1.78543713716724,bhe
no,372996,xy,rmv,wh,kc,3.16,0,ndk,e2,zgp,1.4,xp,5.0638756,1.34728121567602,0.316226,1.62320602601235,ntg
no,162672,dt,fpj,zl,kc,2.83,0,ndk,e2,urz,0,xp,4.0362036,1.3507076423861,0.316071,1.664320103838,bhe
yes,434220,cu,afs,zl,kc,3,0,ptn,e2,urz,0.3,xp,4.5459565,1.3788067463233,0.374171,1.84048491858274,bhe
no,401476,cu,fpj,wh,kc,3.46,0,ndk,e2,ghz,0,rw,2.7273236,1.34985359130219,0.316226,1.68147267457409,bhe
yes,126617,mf,cqy,zl,kc,3.74,1,ptn,e1,urz,1,xp,7.5035677,1.35833863709556,0.316226,1.86719640453947,bhe
no,334379,xy,fpj,zl,kc,3.61,0,ndk,e2,ghz,0.3,xp,4.086443,1.37683703572854,0.360557,1.81633723658411,bhe
no,427925,mf,fpj,ld,kc,3.61,0,ndk,e2,pxe,0,rw,9.5158867,1.47697841925834,0.374171,1.86112659767997,akk
no,87021,xy,fpj,sv,kc,3.46,0,ndk,e2,zgp,0.3,rw,2.8229431,1.35833863709556,0.316226,1.68343738220024,akk
no,29959,cu,fpj,wh,kc,2.83,0,ndk,e2,ghz,0.1,xp,7.2026702,1.36633978958922,0.400004,1.65841310285479,bhe
no,365636,rh,cqy,uz,je,3.32,0,ndk,e2,zgp,0.3,rw,2.549963,1.37549098080702,0.316226,1.72560223281072,akk
no,517148,xy,fpj,wh,kc,1.73,0,ndk,e2,urz,0.6,xp,1.0516512,1.3185857685098,0.39975,1.56570341660065,bhe
no,512834,eb,fpj,wh,kc,2.83,1,ndk,e2,urz,0.1,xp,4.2664143,1.32924142965554,0.316226,1.6265888954444,bhe
yes,11829,rh,fpj,ln,kc,3.74,1,ndk,e8,pxe,1.4,rw,9.3542159,1.37947668203965,0.374171,2.01792130330017,akk
yes,522930,eb,fpj,zl,kc,2.83,0,ptn,e2,zgp,0.5,xp,12.018604,1.32893797458303,0.400004,1.74325919214605,bhe
no,519060,cu,afs,zl,kc,1.73,0,ndk,e2,zgp,0.3,xp,0.81999426,1.4034893280513,0.423799,1.54150024729982,bhe
yes,409053,cu,fpj,zl,kc,3.61,0,ndk,e8,ghz,1.4,ii,11.430378,1.3788067463233,0.400004,2.01389350387554,bhe
no,494466,eb,fpj,zl,kc,2,0,ndk,e2,zgp,0.4,xp,5.6651221,1.3456834471343,0.374171,1.56736924651012,bhe
no,340873,dt,fpj,wh,kc,3.46,0,ndk,e2,ghz,0.5,xp,1.235739,1.36782716118025,0.447206,2.07908351262658,bhe
no,198086,rz,fpj,ld,kc,3.32,0,ndk,e2,zgp,0,rw,7.8857799,1.35986969267166,0.400004,1.94803254133159,bhe
yes,533109,xy,fpj,zl,kc,2.83,1,ptn,e2,ghz,0.5,xp,4.0034613,1.36193976451244,0.316226,1.61055583537673,bhe
no,291704,xy,fpj,uz,kc,2.24,0,ndk,e2,zgp,0.2,rw,1.1764802,1.4,0.424271,1.79116071742585,akk
no,365863,rh,fpj,kd,kc,3.32,0,ndk,e2,ghz,0.2,xp,2.5454539,1.36661320093954,0.374171,1.7016672100748,akk
no,129713,xy,fpj,zl,kc,3.61,0,ndk,e2,urz,0.3,xp,2.5535586,1.352134400937,0.316226,1.67145127764817,bhe
no,460063,xy,fpj,wh,kc,2.83,0,ndk,e2,urz,0.1,rw,4.2806107,1.42366887973825,0.400004,1.78662423704611,bhe
no,538804,cu,fpj,zl,kc,3.61,0,ndk,e2,urz,0.4,xp,4.6251685,1.36851015521846,0.374171,1.80216393646548,akk
no,269411,xy,fpj,kd,kc,2.83,1,ndk,e2,zgp,0,xp,12.447424,1.32893797458303,0.400004,1.74683944843585,bhe
no,579914,xy,fpj,zl,je,3.61,0,ndk,e2,urz,0.8,rw,6.2812184,1.34985359130219,0.316226,1.84572329935382,bhe
yes,99887,rh,cqy,wg,je,3.61,0,ndk,e2,zgp,0.8,rw,7.3089345,1.37933907956008,0.374171,1.84196518045902,akk
no,12585,cu,fpj,wh,kc,3.32,0,ndk,e2,ghz,0.4,xp,0.81461314,1.34728121567602,0.316226,1.64170220436356,ntg
no,57455,dt,fpj,wh,kc,2.65,0,ndk,e2,pxe,0.2,xp,3.8264046,1.37814391700017,0.387302,1.73298087507544,bhe
no,50502,cu,fpj,sv,kc,3.61,0,ndk,e2,ghz,0.2,rw,4.679167,1.3507076423861,0.316226,1.70390305228725,bhe
no,9193,eb,fpj,wh,kc,3,0,ndk,e2,urz,0.1,xp,2.4110583,1.36153384487713,0.316226,1.66421483334062,bhe
no,250927,dt,fpj,sv,je,1.73,0,ndk,e2,urz,0.6,rw,7.3528661,1.35566450522281,0.316071,1.50109096155096,ntg
no,566219,cu,cqy,zl,je,3.32,0,ndk,e2,ghz,0.7,xp,1.2773524,1.34728121567602,0.316226,1.63879607229069,ntg
no,446599,xy,fpj,wh,kc,2.83,0,ndk,e2,urz,0.3,xp,9.0950981,1.33911809144429,0.374171,1.72947845776161,bhe
no,63995,eb,cqy,zl,kc,3.32,0,ndk,e2,urz,0.2,xp,6.6233812,1.39075960119737,0.374171,1.70287177185609,ntg
no,118798,rh,fpj,zl,je,3.16,0,ndk,e2,ghz,0.4,xp,0.83166166,1.37012773905114,0.316226,1.65780122421229,ntg
no,535800,xy,fpj,wh,kc,3.61,0,ndk,e2,urz,0.3,xp,8.1807997,1.34669228077216,0.400004,2.05098556229034,bhe
no,362785,cu,fpj,sv,kc,3.46,0,ndk,e2,urz,0.3,rw,7.1813096,1.36661320093954,0.374171,1.73317476914478,akk
no,443738,mf,fpj,zl,kc,2.83,0,ndk,e2,urz,0.3,xp,5.1667086,1.36633978958922,0.400004,1.67551701002687,bhe
no,42763,rh,fpj,zl,je,3,0,ndk,e2,ghz,0,xp,3.3966389,1.42544825483991,0.447206,1.89646013745233,akk
no,111459,rh,fpj,uz,kc,2.83,0,ndk,e2,urz,0.4,xp,8.1852509,1.35833863709556,0.316226,1.60515749604994,bhe
no,499175,xy,fpj,wh,kc,3.61,0,ndk,e2,urz,0.2,rw,6.2970628,1.37549098080702,0.316226,1.78052482495901,akk
no,257870,rz,fpj,sv,kc,3.16,0,ndk,e2,ghz,1.1,rw,10.637723,1.4034893280513,0.424271,1.84681463360753,bhe
no,20372,mf,fpj,wh,je,1.73,1,ndk,e2,ghz,1.2,xp,5.1997269,1.4031210182804,0.399874,1.61712451638202,bhe
no,313711,rh,fpj,zl,kc,3.32,0,ndk,e2,zgp,0.5,xp,12.21424,1.30708611504946,0.316226,1.63397607459243,ntg
no,483341,dt,fpj,zl,je,2.83,0,ndk,e2,zgp,0.5,xp,9.3634879,1.34437829779384,0.400004,1.81689679439775,bhe
no,435497,xy,cqy,zl,kc,2.65,0,ndk,e2,zgp,0.4,xp,5.8482837,1.36055998515765,0.447206,1.77453246064619,bhe
no,492839,dt,fpj,sv,kc,3.32,1,ndk,e2,ghz,0,rw,7.7041885,1.35986969267166,0.374171,1.70437205161085,bhe
yes,126369,mf,afs,zl,kc,3.46,1,ndk,e2,zgp,0,ii,4.3100874,1.33075419135778,0.424271,2.19624448024653,bhe
no,105685,mf,fpj,wh,je,3.61,1,ndk,e2,zgp,0.2,rw,5.5253251,1.35986969267166,0.374171,1.74869225830124,bhe
no,586515,xy,cqy,uz,kc,3.61,1,ndk,e2,urz,0.1,rw,0.20584671,1.34437829779384,0.400004,1.91646391691377,akk
no,250469,dt,fpj,zl,kc,3.61,0,ndk,e2,ghz,0.8,xp,0.8259301,1.40865292182218,0.387302,2.10769181018661,akk
yes,187855,eb,fpj,wh,kc,3.74,1,ndk,e2,urz,0,rw,1.7841007,1.35340935595328,0.400004,2.09766734739507,bhe
no,69423,xy,cqy,uz,kc,3.74,1,ndk,e2,urz,1,rw,9.3548619,1.37107383127051,0.316226,1.76546210607859,akk
no,319185,xy,fpj,zl,je,2.24,0,ndk,e2,urz,0.2,wp,3.7635421,1.37549098080702,0.316071,1.61836701552863,bhe
yes,264720,mf,cqy,wh,kc,3.32,1,ndk,e2,ghz,0.4,xp,0.86575625,1.40865292182218,0.387302,1.97655062622952,akk
no,257341,eb,fpj,wh,je,3,0,ndk,e2,urz,0.3,xp,5.8357789,1.4013649068252,0.400004,1.77474368278229,akk
yes,370259,rz,cqy,zl,kc,2.83,0,ptn,e1,urz,0.5,ii,6.0826875,1.31623125270548,0.400004,1.7449496637425,bhe
no,494419,cu,cqy,fv,je,3.16,0,ndk,e2,urz,0.4,rw,13.139911,1.36193976451244,0.316226,1.64102642843938,ntg
